== fastent benchmark ==
  binary    : ./fastent
  ent       : /usr/bin/ent (compared at jobs=ent, single-threaded)
  size/run  : 1024 MiB
  runs/cell : 5 (after 1 warmup)
  jobs      : 1 2 4 8 16 24
  modes     : byte bit byte-fold
  levels    : plain e ee
  fips      : on
  datasets  : random zeros counter dna ascii biased sparse-bits lcg walk stripes
  cache     : /tmp/fastent-bench

  generating random       (1024 MiB) ...
  generating zeros        (1024 MiB) ...
  generating counter      (1024 MiB) ...
  generating dna          (1024 MiB) ...
  generating ascii        (1024 MiB) ...
  generating biased       (1024 MiB) ...
  generating sparse-bits  (1024 MiB) ...
  generating lcg          (1024 MiB) ...
  generating walk         (1024 MiB) ...
  generating stripes      (1024 MiB) ...

  dataset      mode      level jobs        mean      stddev         min         max       MiB/s
  ascii        byte      plain    4     0.1158s     0.0013s     0.1141s     0.1175s      8840.3
  ascii        byte      plain    8     0.0751s     0.0037s     0.0723s     0.0814s     13641.7
  ascii        byte      plain   16     0.0640s     0.0032s     0.0584s     0.0661s     16007.0
  ascii        byte      plain   24     0.0579s     0.0029s     0.0532s     0.0604s     17683.6
  ascii        byte      e        1     1.8549s     0.0044s     1.8502s     1.8609s       552.1
  ascii        byte      e        2     1.0023s     0.0025s     0.9991s     1.0058s      1021.7
  ascii        byte      e        4     0.5405s     0.0058s     0.5345s     0.5492s      1894.5
  ascii        byte      e        8     0.3217s     0.0042s     0.3173s     0.3285s      3182.7
  ascii        byte      e       16     0.2856s     0.0056s     0.2777s     0.2935s      3586.0
  ascii        byte      e       24     0.3082s     0.0089s     0.2994s     0.3208s      3322.7
  ascii        byte      ee       1     3.2380s     0.0513s     3.2027s     3.3279s       316.2
  ascii        byte      ee       2     1.7451s     0.0039s     1.7414s     1.7506s       586.8
  ascii        byte      ee       4     0.9406s     0.0020s     0.9386s     0.9432s      1088.7
  ascii        byte      ee       8     0.5448s     0.0097s     0.5344s     0.5560s      1879.7
  ascii        byte      ee      16     0.4449s     0.0059s     0.4376s     0.4523s      2301.5
  ascii        byte      ee      24     0.4710s     0.0063s     0.4629s     0.4792s      2174.3
  ascii        bit       plain  ent    17.8294s     0.0638s    17.7775s    17.9388s        57.4
  ascii        bit       plain    1     0.1382s     0.0005s     0.1377s     0.1390s      7408.9
  ascii        bit       plain    2     0.1114s     0.0004s     0.1111s     0.1118s      9189.0
  ascii        bit       plain    4     0.0711s     0.0036s     0.0683s     0.0767s     14392.3
  ascii        bit       plain    8     0.0529s     0.0015s     0.0516s     0.0548s     19375.6
  ascii        bit       plain   16     0.0511s     0.0007s     0.0501s     0.0517s     20046.6
  ascii        bit       plain   24     0.0513s     0.0008s     0.0500s     0.0520s     19962.1
  ascii        bit       e        1     1.6832s     0.0055s     1.6762s     1.6903s       608.4
  ascii        bit       e        2     0.9064s     0.0034s     0.9043s     0.9124s      1129.7
  ascii        bit       e        4     0.4910s     0.0022s     0.4883s     0.4940s      2085.6
